customer_id,full_name,age,gender,location,customer_membership
1,Allison Hill,55,Female,Halifax,Silver
2,Noah Rhodes,37,Male,Toronto,Platinum
3,Angie Henderson,25,Female,Vancouver,Platinum
4,Daniel Wagner,26,Male,Montreal,Silver
5,Christina Santos,33,Female,Montreal,Basic
6,Daniel Lawrence,58,Male,Quebec City,Basic
7,Aaron Shaffer,29,Male,Calgary,Basic
8,Gina Moore,55,Female,Toronto,Basic
9,Gabrielle Davis,65,Female,Winnipeg,Silver
10,Ryan Munoz,51,Male,Toronto,Silver
11,Monica Herrera,29,Female,Quebec City,Basic
12,Mr. Juan Calderon,73,Male,Vancouver,Basic
13,Shannon Ray,25,Female,Banff,VIP
14,Angel Perez,50,Male,Vancouver,Gold
15,Bobby Hall,35,Male,Ottawa,Basic
16,Donald Reid,68,Male,Toronto,Basic
17,Jacqueline Clark,21,Female,Toronto,Silver
18,Timothy Wong,23,Male,Toronto,Basic
19,Christopher Daniel,27,Male,Quebec City,Basic
20,James Mayo,28,Male,Montreal,Basic
21,Kristin Cohen,48,Female,Toronto,Silver
22,Ricardo Perez,26,Male,Montreal,Basic
23,Ethan Adams,68,Male,Banff,Gold
24,Terri Walter,29,Female,Kelowna,Platinum
25,Matthew Foster,35,Male,Whistler,Platinum
26,Jimmy Baker,43,Male,Vancouver,Basic
27,Kristina Baker,60,Female,Toronto,Basic
28,Stephanie Ross,39,Female,Toronto,Basic
29,Yolanda Hicks,26,Female,Toronto,Basic
30,Amber Rodriguez,19,Female,Niagara Falls,Basic
31,Ricky Henderson,28,Male,Quebec City,Basic
32,James Ferrell,52,Male,Vancouver,Basic
33,Wesley Valencia,75,Male,Toronto,Basic
34,Michelle Maldonado,21,Female,Montreal,Basic
35,Derek Davidson,22,Male,Toronto,Gold
36,Jessica Chavez,71,Female,Montreal,Basic
37,Sherri Baker,20,Female,Vancouver,Platinum
38,Christopher Gaines,35,Male,Ottawa,Basic
39,Edwin Fowler,30,Male,Toronto,Basic
40,Christian Farmer,53,Male,Toronto,Basic
41,Paula Moreno,20,Female,Montreal,Gold
42,Fred Smith,22,Male,Vancouver,Platinum
43,Shawn Decker,36,Male,Calgary,Basic
44,Amy Humphrey,72,Female,Toronto,Platinum
45,Angelica Tucker,58,Female,Toronto,Silver
46,Paige Cannon,52,Female,Vancouver,Silver
47,Karen Pierce,64,Female,Toronto,Platinum
48,Shelia Henderson,64,Female,Toronto,Basic
49,Kimberly Blair,65,Female,Vancouver,Basic
50,Emily Carney,29,Female,Toronto,VIP
51,Jessica Holmes,32,Female,Quebec City,Basic
52,Danny Morgan,62,Male,Vancouver,Basic
53,Crystal Robinson,26,Female,Calgary,Platinum
54,Mark Perez,39,Male,Quebec City,Basic
55,Shannon Jones,42,Female,Vancouver,Basic
56,Michael Lewis,57,Male,Calgary,Platinum
57,Timothy Duncan,29,Male,Vancouver,Basic
58,Rachel Aguirre,43,Female,Montreal,Basic
59,Anne Jordan,50,Female,Calgary,Basic
60,Julie Daniel,21,Female,Calgary,Basic
61,William Garcia,25,Male,Quebec City,Silver
62,Gina Hensley,57,Female,Montreal,Basic
63,Connor West,48,Male,Victoria,Basic
64,Diana Wright,36,Female,Mont-Tremblant,Basic
65,Jeremy Callahan,39,Male,Kelowna,Platinum
66,Amber Kidd,43,Female,Whistler,Silver
67,Wayne House,28,Male,Vancouver,Silver
68,Christopher Tucker,38,Male,Vancouver,Basic
69,James Brown,24,Male,Calgary,Silver
70,William Baker,42,Male,Toronto,Gold
71,Jordan Henderson,61,Female,Halifax,Silver
72,Zachary Peters,41,Male,Halifax,Platinum
73,Brittney Phillips,36,Female,Montreal,Basic
74,Mr. Joshua Adkins,57,Male,Ottawa,Gold
75,Lauren Shaw,41,Female,Quebec City,Basic
76,Christopher Yu,63,Male,Toronto,Basic
77,Cody Larson,57,Male,Vancouver,Platinum
78,Cynthia Wilson,30,Female,Winnipeg,Basic
79,Danielle Wheeler,45,Female,Niagara Falls,Basic
80,Jason Silva,28,Male,Toronto,Platinum
81,Timothy Harris,32,Male,Victoria,Basic
82,Cynthia Foster,70,Female,Calgary,Platinum
83,Elizabeth Stewart,28,Female,Vancouver,Basic
84,Angel Ellis,46,Female,Vancouver,Basic
85,Dr. Angel Lewis MD,42,Female,Banff,Basic
86,Shirley Suarez,49,Female,Montreal,Silver
87,Christopher Bass,60,Male,Montreal,Gold
88,Logan Archer,19,Male,Vancouver,Basic
89,Aimee Montoya,55,Female,Toronto,Gold
90,Matthew Mcmillan,55,Male,Vancouver,Basic
91,Ashley Rodriguez,35,Female,Toronto,Silver
92,Denise Jacobs,60,Female,Montreal,Basic
93,Dalton Walters,28,Male,Quebec City,Basic
94,John Whitehead,55,Male,Vancouver,Basic
95,Brandon Henderson,55,Male,Toronto,Basic
96,Aaron Wise,25,Male,Vancouver,Basic
97,Deborah Figueroa,74,Female,Toronto,Basic
98,Jeffrey Smith,37,Male,Toronto,Basic
99,Sonya Mckee,60,Female,Toronto,Basic
100,Ruben Aguilar,30,Male,Vancouver,Gold
101,Cameron Parker,30,Male,Toronto,Gold
102,Robert Valencia,26,Male,Edmonton,Basic
103,Daniel Wright,43,Male,Mont-Tremblant,Basic
104,Richard Henson,46,Male,Quebec City,Silver
105,Marc Moore,28,Male,Toronto,Basic
106,Sean Cherry,44,Male,Vancouver,Basic
107,Sierra Johnson,36,Female,Niagara Falls,Silver
108,Evelyn Galvan,67,Female,Toronto,Basic
109,Sean Cochran,18,Male,Toronto,Basic
110,Rachel Rodriguez,32,Female,Montreal,Basic
111,Scott Walker,43,Male,Toronto,Basic
112,Joe Torres,31,Male,Vancouver,Basic
113,Crystal Johnson,28,Female,Banff,Basic
114,Garrett Lin,43,Male,Mont-Tremblant,Basic
115,Mrs. Margaret Ross,31,Female,Montreal,Basic
116,Joshua Crosby Jr.,24,Male,Calgary,Basic
117,Mrs. Tonya Baker,59,Female,Toronto,Basic
118,Jessica Chandler,74,Female,Winnipeg,Basic
119,Larry Dixon,23,Male,Quebec City,Basic
120,Kenneth Scott,33,Male,Niagara Falls,Basic
121,Aaron Frost,70,Male,Victoria,Silver
122,Nathan Harmon,36,Male,Winnipeg,Platinum
123,Jackson Jones,60,Male,Niagara Falls,Basic
124,Gary Edwards,44,Male,Vancouver,Basic
125,Michelle Evans,33,Female,Whistler,Basic
126,Jason Powell,69,Male,Vancouver,Basic
127,Bethany Fisher,60,Female,Whistler,Basic
128,Michael Orr,57,Male,Montreal,Basic
129,Elizabeth Kelley,52,Female,Halifax,Basic
130,Dustin Jordan,67,Male,Vancouver,Basic
131,Mary Marshall,30,Female,Toronto,VIP
132,Daniel Kennedy,48,Male,Montreal,Basic
133,Robert Jackson,49,Male,Toronto,Silver
134,Kaylee Schultz,31,Female,Halifax,Gold
135,Robert Potter,44,Male,Whistler,Basic
136,Courtney Gonzalez,64,Female,Ottawa,Basic
137,Danielle Alvarez,68,Female,Toronto,Basic
138,Benjamin Perry,23,Male,Vancouver,Basic
139,Cheyenne Horton,50,Female,Toronto,Basic
140,Dana Douglas,33,Female,Vancouver,Basic
141,Nicole Carrillo,68,Female,Mont-Tremblant,Basic
142,Jeffery Thompson,38,Male,Quebec City,Basic
143,Kelly Williams,24,Female,Halifax,Basic
144,Ryan Bryant,38,Male,Toronto,Gold
145,Michael Travis,73,Male,Ottawa,Basic
146,Travis Vance,65,Male,Victoria,Basic
147,Nathan Wagner,22,Male,Calgary,Silver
148,Kimberly Merritt,46,Female,Vancouver,Basic
149,Karen Green,22,Female,Vancouver,Basic
150,Marcia Cannon,66,Female,Montreal,Platinum
151,Mark Hill,60,Male,Kelowna,Basic
152,Donna Nelson,31,Female,Toronto,VIP
153,Kimberly Taylor,74,Female,Banff,Basic
154,Michael Mccarthy,43,Male,Vancouver,Silver
155,Jason Daniels,56,Male,Toronto,Basic
156,Christine Fisher,52,Female,Quebec City,Basic
157,Lauren Dominguez,48,Female,Toronto,Platinum
158,Ralph James,26,Male,Toronto,Basic
159,Heather Molina,67,Female,Quebec City,Silver
160,Tiffany Barnes,58,Female,Niagara Falls,Basic
161,Joshua Morrison,36,Male,Halifax,Basic
162,Colleen Graham,66,Female,Toronto,Basic
163,Gabriella Shelton,47,Female,Calgary,Basic
164,Christopher Mcdonald,52,Male,Winnipeg,Silver
165,Lisa Johnson,51,Female,Banff,Basic
166,Kristy Johnson,53,Female,Halifax,Basic
167,Chad Murray,28,Male,Whistler,Basic
168,Jamie Lewis,45,Female,Toronto,Basic
169,Paige Gray,60,Female,Montreal,Basic
170,Ronnie King,27,Male,Toronto,Silver
171,Alec Ryan,29,Male,Toronto,Basic
172,Mrs. Marie Harrington DDS,43,Female,Toronto,Basic
173,Travis Gonzalez,39,Male,Vancouver,Basic
174,Brittany Martinez,32,Female,Halifax,Basic
175,Kristy Robinson,25,Female,Whistler,Basic
176,Randall Jackson,55,Male,Vancouver,Basic
177,Paul Wilson,62,Male,Toronto,Basic
178,Traci Rodriguez,33,Female,Quebec City,Basic
179,Eric Byrd,23,Male,Whistler,Platinum
180,Jennifer Espinoza,22,Female,Quebec City,Basic
181,Michael Burton,52,Male,Halifax,Basic
182,Raymond Jefferson,36,Male,Banff,Gold
183,Barbara Riggs,45,Female,Quebec City,Basic
184,Gregory Patterson,38,Male,Niagara Falls,Basic
185,Jonathan Peterson,47,Male,Toronto,Basic
186,Samantha Garcia,24,Female,Montreal,Basic
187,Mr. Ronald Zimmerman,70,Male,Toronto,Basic
188,Morgan Sheppard,53,Female,Montreal,Basic
189,Robert Medina,26,Male,Toronto,Basic
190,Jessica Simon,38,Female,Toronto,Basic
191,Samuel Rivas,35,Male,Edmonton,Silver
192,Stephen Sanchez,42,Male,Toronto,Basic
193,Leonard Gray,56,Male,Toronto,Gold
194,Samuel White,74,Male,Vancouver,Basic
195,Rebecca Peterson,41,Female,Toronto,Basic
196,Meredith Hill,56,Female,Toronto,Gold
197,Tiffany Miller,41,Female,Whistler,Silver
198,Katherine Chang,28,Female,Toronto,Basic
199,Matthew Henry,49,Male,Vancouver,Basic
200,Anna Walker,47,Female,Toronto,Silver
201,Elizabeth Perkins,59,Female,Calgary,Platinum
202,Kiara Coleman,39,Female,Toronto,Basic
203,Gary Warner,30,Male,Vancouver,Basic
204,David Martinez,38,Male,Toronto,Gold
205,Barbara Herrera,43,Female,Quebec City,Platinum
206,Cody Robinson,70,Male,Calgary,Basic
207,Nathaniel Bray,19,Male,Banff,Gold
208,Douglas Garcia,46,Male,Vancouver,Basic
209,Crystal White,23,Female,Mont-Tremblant,Basic
210,Kimberly Hill,28,Female,Quebec City,Basic
211,Ms. Melissa Martinez,33,Female,Vancouver,Basic
212,John Salas,72,Male,Calgary,Basic
213,John Alexander,55,Male,Banff,Basic
214,Amber Everett,47,Female,Quebec City,Basic
215,Rodney Morales,21,Male,Vancouver,Silver
216,Lori Brown,22,Female,Halifax,Basic
217,Kristine Torres,61,Female,Calgary,Gold
218,Bailey Duran DDS,20,Female,Halifax,Silver
219,Darius Mills,42,Male,Vancouver,Silver
220,Jessica Dalton,59,Female,Vancouver,Basic
221,Elizabeth Oliver DDS,64,Female,Vancouver,Platinum
222,Travis Clark,41,Male,Montreal,Basic
223,Matthew Moore,53,Male,Toronto,Basic
224,Angela Smith,48,Female,Vancouver,Silver
225,Linda Carter,24,Female,Toronto,Platinum
226,Michelle Warner,67,Female,Toronto,Basic
227,Melissa Bradshaw,29,Female,Vancouver,Basic
228,Mario Guerrero,18,Male,Vancouver,Gold
229,Jeffery Stephens,59,Male,Quebec City,Platinum
230,Terry Serrano,27,Male,Montreal,Basic
231,Christopher Parker,24,Male,Quebec City,Basic
232,Laura Roberts,29,Female,Quebec City,Basic
233,Michael Lyons,23,Male,Vancouver,Basic
234,Jonathan Snyder,62,Male,Kelowna,Basic
235,Andrew Reynolds,25,Male,Toronto,Basic
236,Danielle Davis,31,Female,Vancouver,Silver
237,Dr. Laura Sampson,55,Female,Toronto,Basic
238,Miss Debra Williams PhD,59,Female,Winnipeg,Basic
239,Matthew Moon,59,Male,Toronto,Basic
240,Lauren Walters,38,Female,Montreal,VIP
241,Brandon Bailey,51,Male,Vancouver,Gold
242,Meagan Hodge,40,Female,Montreal,Basic
243,Melissa Roberts,34,Female,Montreal,Basic
244,Robert Pierce,58,Male,Toronto,Basic
245,Emily Morris,31,Female,Vancouver,Basic
246,Mrs. Kayla Travis,25,Female,Vancouver,Basic
247,Joshua Gutierrez,65,Male,Quebec City,Silver
248,Heidi Avila,34,Female,Kelowna,Basic
249,Olivia Harris,19,Female,Vancouver,Basic
250,Tanya Kim,20,Female,Calgary,Platinum
251,Barbara Dudley,56,Female,Vancouver,Basic
252,David Moore,60,Male,Montreal,Platinum
253,Kristen Davis,51,Female,Winnipeg,Basic
254,Thomas Murray Jr.,19,Male,Montreal,Platinum
255,Jonathan Moran,55,Male,Calgary,Silver
256,Donald Davenport,34,Male,Ottawa,Platinum
257,Dana Arnold MD,32,Female,Winnipeg,Silver
258,Jordan Suarez,40,Male,Montreal,VIP
259,Desiree Tyler,24,Female,Winnipeg,Silver
260,Taylor Romero,47,Female,Toronto,Basic
261,Douglas Evans,33,Male,Whistler,Silver
262,Zachary Burns,67,Male,Montreal,Gold
263,Joshua Reed,34,Male,Vancouver,Silver
264,Kimberly Gibson,74,Female,Toronto,Basic
265,Colin Terry,47,Male,Montreal,Basic
266,David Rowe,55,Male,Halifax,Basic
267,Patrick Thornton,28,Male,Victoria,Basic
268,Jasmin Alvarado,45,Female,Montreal,Basic
269,Veronica Simpson,41,Female,Vancouver,Basic
270,Jonathan Lawrence,35,Male,Vancouver,Basic
271,Shane Alexander,66,Male,Winnipeg,Basic
272,Joyce Bowen,43,Female,Toronto,Basic
273,Matthew Moore,74,Male,Quebec City,Basic
274,Wayne Morgan,39,Male,Toronto,Basic
275,Matthew Christian,68,Male,Toronto,Platinum
276,Shannon James,23,Female,Toronto,Basic
277,Michelle Malone,54,Female,Montreal,Gold
278,Amanda Jones,57,Female,Vancouver,Basic
279,Thomas Bright,47,Male,Vancouver,Basic
280,Jessica Garcia,48,Female,Toronto,Basic
281,Shelia Wallace,56,Female,Edmonton,Basic
282,Steven Williams,20,Male,Ottawa,Gold
283,Edward Brooks,63,Male,Vancouver,Basic
284,Kim Knight,54,Female,Quebec City,Basic
285,Christopher Miller,60,Male,Banff,Basic
286,Lisa Allen,45,Female,Quebec City,Basic
287,Briana Murray,52,Female,Ottawa,Basic
288,Dawn Smith,57,Female,Toronto,Basic
289,Stephanie Byrd,18,Female,Montreal,Basic
290,Jeremy Reed,44,Male,Whistler,Silver
291,Mark Coleman,23,Male,Winnipeg,Basic
292,Sarah Gonzalez,39,Female,Montreal,Basic
293,Karen Young,53,Female,Quebec City,Basic
294,Laura Haney,22,Female,Victoria,Silver
295,William Barrett,37,Male,Vancouver,Basic
296,Kylie Jennings,40,Female,Kelowna,Gold
297,Anthony Obrien,56,Male,Niagara Falls,Basic
298,Tanner Mitchell,53,Male,Niagara Falls,Basic
299,Lisa Gomez,52,Female,Toronto,Platinum
300,Marc Byrd,23,Male,Ottawa,Basic
301,Matthew Massey,50,Male,Vancouver,Platinum
302,Steven Lucas,22,Male,Vancouver,Basic
303,Jeremiah Riley,46,Male,Mont-Tremblant,Basic
304,Brandon Phillips,74,Male,Vancouver,Basic
305,Casey Anderson,75,Female,Toronto,Basic
306,Valerie Schmidt,43,Female,Winnipeg,Basic
307,Sandra Scott,68,Female,Vancouver,Gold
308,Karen Drake,50,Female,Toronto,Basic
309,Gina Wilson,27,Female,Halifax,Platinum
310,Mr. Vincent Dalton,28,Male,Toronto,VIP
311,Veronica Coffey,24,Female,Vancouver,Silver
312,Jacob Gibbs,45,Male,Vancouver,Basic
313,Kimberly Gibson,34,Female,Vancouver,Basic
314,Megan Richards,32,Female,Quebec City,Platinum
315,Todd Rodriguez,68,Male,Toronto,Silver
316,Alexander Henson,44,Male,Edmonton,Gold
317,Suzanne Walker,47,Female,Montreal,Basic
318,Samantha Blankenship,26,Female,Mont-Tremblant,Basic
319,Jason Taylor,68,Male,Toronto,Basic
320,Eric Vasquez,30,Male,Montreal,Basic
321,Stephen Taylor,38,Male,Ottawa,Basic
322,Meagan Paul,46,Female,Vancouver,Silver
323,Jason Newton,75,Male,Montreal,Basic
324,Jason Garcia,58,Male,Vancouver,Platinum
325,Jennifer Lynn,31,Female,Calgary,Basic
326,Jacqueline Ramos,34,Female,Winnipeg,Basic
327,Savannah Garcia,45,Female,Winnipeg,Basic
328,Joshua Levine,36,Male,Vancouver,Basic
329,Jennifer Lopez,48,Female,Toronto,Basic
330,Sarah Gibson,64,Female,Vancouver,Basic
331,Maria Harper,46,Female,Vancouver,Basic
332,Rachel Sanchez,46,Female,Toronto,VIP
333,Kristy Jones,55,Female,Vancouver,Gold
334,Daniel Robinson,37,Male,Toronto,Platinum
335,Erin Hernandez,58,Female,Quebec City,Basic
336,April Garrison,39,Female,Calgary,Basic
337,Carlos King,36,Male,Halifax,Basic
338,Mary Johnson,69,Female,Vancouver,Basic
339,Richard Young,39,Male,Quebec City,Platinum
340,Christopher Williams,51,Male,Toronto,Basic
341,Joseph Reese,27,Male,Ottawa,Basic
342,Paula Palmer,29,Female,Vancouver,Basic
343,Kathy Dougherty,52,Female,Calgary,Silver
344,Richard Camacho,38,Male,Vancouver,Basic
345,Jimmy Maynard,44,Male,Montreal,Gold
346,Karen Morales,35,Female,Vancouver,Basic
347,John Browning,22,Male,Quebec City,Basic
348,Bobby Franklin,21,Male,Vancouver,Gold
349,Denise Schultz,53,Female,Edmonton,Basic
350,Erika Vang,40,Female,Toronto,Silver
351,Jody Jacobs,30,Female,Montreal,Gold
352,Mia Farrell,18,Female,Vancouver,Gold
353,Patricia Le,26,Female,Montreal,Basic
354,Jocelyn Perez,71,Female,Montreal,Basic
355,Jesse Perry,37,Male,Montreal,Basic
356,Jessica Ortega,34,Female,Toronto,Basic
357,Christian Leblanc,40,Male,Vancouver,Basic
358,Ronald Davis,52,Male,Vancouver,Gold
359,Nancy Cain,46,Female,Toronto,Basic
360,Kevin Hoffman,20,Male,Toronto,Gold
361,Bryan Gomez,62,Male,Whistler,Platinum
362,Nicole Parrish,60,Female,Vancouver,Platinum
363,Warren Burke,30,Male,Toronto,Gold
364,Kenneth Lewis,24,Male,Niagara Falls,Basic
365,Courtney Rodriguez,55,Female,Vancouver,Silver
366,Holly Farmer,23,Female,Toronto,Basic
367,Robert Bruce,57,Male,Kelowna,Basic
368,Dr. Lisa Day,36,Female,Vancouver,Platinum
369,Tanya Gallegos,47,Female,Victoria,Basic
370,Christopher Park,41,Male,Ottawa,Basic
371,Gerald Smith,18,Male,Niagara Falls,Basic
372,Keith Morales,24,Male,Montreal,Basic
373,Mark Johnson,31,Male,Quebec City,Silver
374,Daniel Barnes,31,Male,Ottawa,Basic
375,Jacob Griffith,41,Male,Toronto,Basic
376,Keith Miller,22,Male,Vancouver,Basic
377,Christopher Williamson,28,Male,Montreal,Basic
378,Dillon Stanley,24,Male,Vancouver,Basic
379,Jeremy Nelson,33,Male,Vancouver,Basic
380,Brian Jordan,24,Male,Kelowna,Basic
381,Michael Tucker,52,Male,Vancouver,Basic
382,Andrew Foster,64,Male,Quebec City,Basic
383,Aimee Turner,68,Female,Niagara Falls,Basic
384,Breanna Scott,24,Female,Calgary,Basic
385,Adam Burgess,24,Male,Victoria,Basic
386,James Padilla,42,Male,Montreal,Silver
387,Sandra Drake,31,Female,Toronto,Basic
388,Scott Williams,57,Male,Kelowna,Basic
389,Thomas Atkins,21,Male,Montreal,Basic
390,Laura Mckinney,41,Female,Montreal,Basic
391,Brian Smith,68,Male,Toronto,Basic
392,Robert Montgomery,63,Male,Vancouver,Basic
393,Thomas Davis,32,Male,Montreal,Basic
394,David Chapman,48,Male,Toronto,Basic
395,Jennifer Collins,72,Female,Vancouver,Basic
396,Felicia Jackson,64,Female,Victoria,Basic
397,Ashley Hicks,35,Female,Montreal,Basic
398,Gregory Luna,31,Male,Quebec City,Silver
399,Robert Young,19,Male,Vancouver,Gold
400,Christina Morrison,57,Female,Quebec City,Basic
