employee_id,name,age,gender,schedule_id,store_id
1,Jennifer Graham,32,Female,21,1
2,Nathan Moore,37,Male,75,1
3,Ronald Sharp,48,Male,36,1
4,Troy Williams,36,Male,5,1
5,Frances Green,50,Female,9,1
6,Maria Arnold,31,Female,2,1
7,Daniel Rodriguez,24,Male,20,1
8,Paige Williams,40,Female,77,1
9,Kimberly Rosales,43,Female,18,1
10,Christopher Fuentes,19,Male,55,1
11,Sarah Davis,48,Female,71,1
12,Rachael Watson,27,Female,22,1
13,Mary Stephenson,45,Female,17,1
14,Joshua Kane,38,Male,12,1
15,Joseph Esparza,43,Male,11,2
16,Alejandra Gallagher,33,Female,46,2
17,Gabriel Hawkins,42,Male,67,2
18,Eric Torres,40,Male,37,2
19,Russell Smith,55,Male,7,2
20,Christopher Reilly,41,Male,55,2
21,Kathleen Little,48,Female,33,2
22,Ronnie Meyer,39,Male,62,2
23,Tina Little,29,Female,4,2
24,Seth Curry,34,Male,54,2
25,Bryan Graham,19,Male,41,2
26,Elizabeth White,49,Female,14,2
27,Miguel Graham,30,Male,58,2
28,Angela White,32,Female,14,3
29,Amy Mitchell,45,Female,75,3
30,Kim Flynn,20,Female,80,3
31,Morgan Pace,33,Female,64,3
32,Keith Atkins,44,Male,15,3
33,Brandon Huffman,26,Male,28,3
34,Roger Sullivan,36,Male,62,3
35,Vanessa Ramirez,45,Female,79,3
36,Brent Martin,25,Male,13,3
37,Ashley Dunn,40,Female,21,3
38,Sheri Henderson,43,Female,4,3
39,Michael Jackson,35,Male,42,3
40,Abigail Mayer,34,Female,76,3
41,Kimberly Lee,30,Female,62,4
42,Shane Smith,20,Male,15,4
43,Gabriel White,35,Male,22,4
44,Kendra Young,48,Female,12,4
45,Timothy Tran,52,Male,31,4
46,Jason Patrick,29,Male,17,4
47,Paula Saunders,41,Female,55,4
48,Jerry Ferguson,41,Male,28,4
49,Samantha Avila,27,Female,6,4
50,Scott Thompson,28,Male,45,4
51,Steve Macias,33,Male,51,4
52,Steven Nunez,39,Male,53,4
53,Damon Olsen,52,Male,69,4
54,Nicole Wagner,40,Female,76,4
55,Stephen Richmond,48,Male,6,5
56,Nicole Tate,32,Female,67,5
57,Jordan Wright,36,Female,31,5
58,Vincent Rodriguez,55,Male,70,5
59,Mrs. Mary Moody,26,Female,23,5
60,Darius Lynch,49,Male,10,5
61,Kimberly Romero,47,Female,62,5
62,Mr. Cody Mclaughlin,39,Male,58,5
63,Amy Woods,51,Female,39,5
64,Phillip Everett,23,Male,68,5
65,Tiffany Olson,51,Female,13,5
66,Marie Henderson,32,Female,79,5
67,Jacob Perkins,32,Male,80,5
68,Stephanie Medina,26,Female,52,6
69,Matthew Adams,55,Male,18,6
70,Lisa Mcdonald,36,Female,2,6
71,Jennifer Murray,49,Female,80,6
72,Ashley Booker,48,Female,75,6
73,Sarah Day,26,Female,1,6
74,Elizabeth Guerrero,25,Female,30,6
75,Michael Ewing,34,Male,13,6
76,Brittany Myers,44,Female,50,6
77,Troy Ross,38,Male,17,6
78,Carolyn Kane,55,Female,26,6
79,Brandon Morris,55,Male,15,6
80,Lisa Watkins,54,Female,67,6
81,Christopher Nguyen,18,Male,49,6
82,Michael Fuller,54,Male,6,7
83,Jill Evans,34,Female,37,7
84,Scott Johnson,44,Male,56,7
85,Karen Hubbard,35,Female,65,7
86,Leslie Shea,23,Female,39,7
87,Jessica Montgomery,28,Female,19,7
88,Justin Tran,42,Male,4,7
89,Elizabeth Frazier,33,Female,43,7
90,Heather Williamson,31,Female,27,7
91,Jennifer Jones,42,Female,69,7
92,Rebekah Pham,54,Female,25,7
93,Brian Murray,41,Male,61,7
94,Judy Acevedo,42,Female,49,7
95,James Perkins,18,Male,63,7
96,Ashley James,33,Female,28,8
97,Joseph Baker,28,Male,75,8
98,Rebecca Jackson,28,Female,19,8
99,Renee Liu,55,Female,6,8
100,Christopher Houston,47,Male,30,8
101,Christopher Taylor MD,41,Male,78,8
102,Donna Guzman,20,Female,68,8
103,Sara White,55,Female,18,8
104,David Meyer,24,Male,77,8
105,April Wiley,29,Female,1,8
106,Cheryl Wade,18,Female,11,8
107,John Estrada,33,Male,69,8
108,Cynthia Larson,24,Female,44,8
109,Roy Paul,37,Male,76,9
110,Hannah Joyce,44,Female,30,9
111,Chase Choi,20,Male,26,9
112,Thomas Williams,51,Male,4,9
113,Meghan Cortez,25,Female,72,9
114,Jennifer Vargas,21,Female,80,9
115,Kyle Newman,52,Male,59,9
116,Walter Howard,37,Male,20,9
117,Kristin Saunders,19,Female,2,9
118,Jeffrey Weaver,25,Male,13,9
119,William Reynolds,18,Male,67,9
120,Kathryn Castillo,53,Female,58,9
121,Alicia Wilson,44,Female,61,10
122,Jennifer Day,38,Female,30,10
123,Ashley Christensen,23,Female,9,10
124,Stephen Martinez,32,Male,52,10
125,Thomas Turner,46,Male,17,10
126,Mrs. Linda Williams,51,Female,62,10
127,Maurice Blevins,40,Male,24,10
128,Tanya Cardenas,46,Female,36,10
129,Eric Johnson,52,Male,76,10
130,Richard Wilson,42,Male,41,10
131,Lisa Graham,54,Female,43,10
132,Ethan Coleman,34,Male,7,10
133,Teresa White,33,Female,3,10
134,Gary Lewis,27,Male,65,10
135,Matthew Gonzales,29,Male,32,11
136,Jonathan Castillo,43,Male,34,11
137,Kimberly Cohen,53,Female,60,11
138,Linda Burke,48,Female,52,11
139,Anne Holloway,27,Female,9,11
140,Courtney Smith,30,Female,49,11
141,Tracy Roberts,33,Female,27,11
142,Colleen Martin,47,Female,44,11
143,Stephanie Brown,50,Female,40,11
144,Jennifer Barrett,42,Female,31,11
145,Tara Jones,54,Female,13,11
146,Kaitlyn Leblanc,38,Female,78,11
147,Madeline Ford,20,Female,44,12
148,Patricia Herrera,19,Female,27,12
149,Danielle Reed,20,Female,50,12
150,Michael Spencer,29,Male,65,12
151,Kevin Torres,24,Male,46,12
152,Hannah Marquez,53,Female,49,12
153,Jared Madden,29,Male,68,12
154,Isabella Miller,39,Female,7,12
155,Gabriella Williams,53,Female,39,12
156,Anthony Parker,54,Male,45,12
157,Jerome Parker,48,Male,42,12
158,Phillip Fowler,45,Male,9,12
159,Brenda Gonzales,51,Female,12,12
160,Natalie Oconnor,37,Female,4,13
161,Richard Murray,42,Male,8,13
162,Elizabeth Shaffer,45,Female,54,13
163,Christina Roberts,23,Female,6,13
164,Dalton Cook,42,Male,75,13
165,Joseph Walker,36,Male,42,13
166,Daniel Miller,40,Male,56,13
167,Michael Allen,37,Male,2,13
168,Thomas Baird,53,Male,39,13
169,Andrew Wells,48,Male,14,13
170,Carrie Mcintyre,54,Female,13,13
171,Robert Castillo,42,Male,40,13
172,Alexandra Wilcox,33,Female,62,13
173,Emily Brown,52,Female,46,14
174,Jeremy Torres,19,Male,75,14
175,Mary House,36,Female,35,14
176,John Shaffer,29,Male,31,14
177,Brian Cunningham,24,Male,80,14
178,Jeffery Mendoza,44,Male,66,14
179,Sean Crawford,46,Male,21,14
180,Jeremy Gray,40,Male,13,14
181,Robert Chapman,46,Male,54,14
182,Emily Clark,43,Female,8,14
183,Laurie Johnston,55,Female,2,14
184,Lori Jordan,55,Female,61,14
185,Mrs. Lisa Andrews,41,Female,20,14
186,Michael Rodriguez,35,Male,63,15
187,Julian Castillo,25,Male,21,15
188,Joseph Young,27,Male,26,15
189,Michael Martin,23,Male,68,15
190,Joshua Ortiz,45,Male,37,15
191,Summer Jackson,31,Female,51,15
192,Destiny Pace,41,Female,45,15
193,Elizabeth Potter,54,Female,40,15
194,Michael Ramsey,26,Male,11,15
195,Jessica Hoffman,27,Female,31,15
196,Rodney Wu,41,Male,56,15
197,Michelle Bailey,21,Female,34,15
198,Theresa Harmon,31,Female,37,16
199,Anthony Thomas,22,Male,49,16
200,Lauren Simon,31,Female,54,16
201,Stephanie Singleton,18,Female,4,16
202,Robert Evans,31,Male,77,16
203,Margaret Solomon,30,Female,38,16
204,Angela Smith,24,Female,17,16
205,Kevin Evans,43,Male,1,16
206,Dr. Rita Tyler,28,Female,64,16
207,Daniel Crawford,21,Male,26,16
208,Kelly Myers,32,Female,13,16
209,Angela Barber,41,Female,75,16
210,Daniel Shaw,40,Male,18,16
211,Sarah Wilson,33,Female,15,16
212,David Andersen,43,Male,33,17
213,Kimberly Hill,28,Female,52,17
214,Kenneth Clay,32,Male,15,17
215,Robert Douglas,51,Male,69,17
216,Ryan Berry,35,Male,35,17
217,Sandra Griffin,30,Female,59,17
218,Jacqueline Hernandez,27,Female,18,17
219,Tim Richards,43,Male,37,17
220,Rachel Davis,48,Female,21,17
221,Erik Wagner,36,Male,6,17
222,Nicole Marshall,38,Female,61,17
223,Randy Caldwell,51,Male,8,17
224,Megan Smith,28,Female,14,17
225,Bryan Allen,32,Male,38,17
226,Alexandra Mullen,18,Female,3,18
227,Samuel Rollins,25,Male,62,18
228,Matthew Edwards,44,Male,7,18
229,Nathaniel Williams,25,Male,69,18
